PassengerId,Sex,SibSp
1,male,1
2,female,1
3,female,0
4,female,1
5,male,0
6,male,0
7,male,0
8,male,3
9,female,0
10,female,1
11,female,1
12,female,0
13,male,0
14,male,1
15,female,0
16,female,0
17,male,4
18,male,0
19,female,1
20,female,0
21,male,0
22,male,0
23,female,0
24,male,0
25,female,3
26,female,1
27,male,0
28,male,3
29,female,0
30,male,0
31,male,0
32,female,1
33,female,0
34,male,0
35,male,1
36,male,1
37,male,0
38,male,0
39,female,2
40,female,1
41,female,1
42,female,1
43,male,0
44,female,1
45,female,0
46,male,0
47,male,1
48,female,0
49,male,2
50,female,1
51,male,4
52,male,0
53,female,1
54,female,1
55,male,0
56,male,0
57,female,0
58,male,0
59,female,1
60,male,5
61,male,0
62,female,0
63,male,1
64,male,3
65,male,0
66,male,1
67,female,0
68,male,0
69,female,4
70,male,2
71,male,0
72,female,5
73,male,0
74,male,1
75,male,0
76,male,0
77,male,0
78,male,0
79,male,0
80,female,0
81,male,0
82,male,0
83,female,0
84,male,0
85,female,0
86,female,3
87,male,1
88,male,0
89,female,3
90,male,0
91,male,0
92,male,0
93,male,1
94,male,1
95,male,0
96,male,0
97,male,0
98,male,0
99,female,0
100,male,1
101,female,0
102,male,0
103,male,0
104,male,0
105,male,2
106,male,0
107,female,0
108,male,0
109,male,0
110,female,1
111,male,0
112,female,1
113,male,0
114,female,1
115,female,0
116,male,0
117,male,0
118,male,1
119,male,0
120,female,4
121,male,2
122,male,0
123,male,1
124,female,0
125,male,0
126,male,1
127,male,0
128,male,0
129,female,1
130,male,0
131,male,0
132,male,0
133,female,1
134,female,1
135,male,0
136,male,0
137,female,0
138,male,1
139,male,0
140,male,0
141,female,0
142,female,0
143,female,1
144,male,0
145,male,0
146,male,1
147,male,0
148,female,2
149,male,0
150,male,0
151,male,0
152,female,1
153,male,0
154,male,0
155,male,0
156,male,0
157,female,0
158,male,0
159,male,0
160,male,8
161,male,0
162,female,0
163,male,0
164,male,0
165,male,4
166,male,0
167,female,0
168,female,1
169,male,0
170,male,0
171,male,0
172,male,4
173,female,1
174,male,0
175,male,0
176,male,1
177,male,3
178,female,0
179,male,0
180,male,0
181,female,8
182,male,0
183,male,4
184,male,2
185,female,0
186,male,0
187,female,1
188,male,0
189,male,1
190,male,0
191,female,0
192,male,0
193,female,1
194,male,1
195,female,0
196,female,0
197,male,0
198,male,0
199,female,0
200,female,0
201,male,0
202,male,8
203,male,0
204,male,0
205,male,0
206,female,0
207,male,1
208,male,0
209,female,0
210,male,0
211,male,0
212,female,0
213,male,0
214,male,0
215,male,1
216,female,1
217,female,0
218,male,1
219,female,0
220,male,0
221,male,0
222,male,0
223,male,0
224,male,0
225,male,1
226,male,0
227,male,0
228,male,0
229,male,0
230,female,3
231,female,1
232,male,0
233,male,0
234,female,4
235,male,0
236,female,0
237,male,1
238,female,0
239,male,0
240,male,0
241,female,1
242,female,1
243,male,0
244,male,0
245,male,0
246,male,2
247,female,0
248,female,0
249,male,1
250,male,1
251,male,0
252,female,1
253,male,0
254,male,1
255,female,0
256,female,0
257,female,0
258,female,0
259,female,0
260,female,0
261,male,0
262,male,4
263,male,1
264,male,0
265,female,0
266,male,0
267,male,4
268,male,1
269,female,0
270,female,0
271,male,0
272,male,0
273,female,0
274,male,0
275,female,0
276,female,1
277,female,0
278,male,0
279,male,4
280,female,1
281,male,0
282,male,0
283,male,0
284,male,0
285,male,0
286,male,0
287,male,0
288,male,0
289,male,0
290,female,0
291,female,0
292,female,1
293,male,0
294,female,0
295,male,0
296,male,0
297,male,0
298,female,1
299,male,0
300,female,0
301,female,0
302,male,2
303,male,0
304,female,0
305,male,0
306,male,1
307,female,0
308,female,1
309,male,1
310,female,0
311,female,0
312,female,2
313,female,1
314,male,0
315,male,1
316,female,0
317,female,1
318,male,0
319,female,0
320,female,1
321,male,0
322,male,0
323,female,0
324,female,1
325,male,8
326,female,0
327,male,0
328,female,0
329,female,1
330,female,0
331,female,2
332,male,0
333,male,0
334,male,2
335,female,1
336,male,0
337,male,1
338,female,0
339,male,0
340,male,0
341,male,1
342,female,3
343,male,0
344,male,0
345,male,0
346,female,0
347,female,0
348,female,1
349,male,1
350,male,0
351,male,0
352,male,0
353,male,1
354,male,1
355,male,0
356,male,0
357,female,0
358,female,0
359,female,0
360,female,0
361,male,1
362,male,1
363,female,0
364,male,0
365,male,1
366,male,0
367,female,1
368,female,0
369,female,0
370,female,0
371,male,1
372,male,1
373,male,0
374,male,0
375,female,3
376,female,1
377,female,0
378,male,0
379,male,0
380,male,0
381,female,0
382,female,0
383,male,0
384,female,1
385,male,0
386,male,0
387,male,5
388,female,0
389,male,0
390,female,0
391,male,1
392,male,0
393,male,2
394,female,1
395,female,0
396,male,0
397,female,0
398,male,0
399,male,0
400,female,0
401,male,0
402,male,0
403,female,1
404,male,1
405,female,0
406,male,1
407,male,0
408,male,1
409,male,0
410,female,3
411,male,0
412,male,0
413,female,1
414,male,0
415,male,0
416,female,0
417,female,1
418,female,0
419,male,0
420,female,0
421,male,0
422,male,0
423,male,0
424,female,1
425,male,1
426,male,0
427,female,1
428,female,0
429,male,0
430,male,0
431,male,0
432,female,1
433,female,1
434,male,0
435,male,1
436,female,1
437,female,2
438,female,2
439,male,1
440,male,0
441,female,1
442,male,0
443,male,1
444,female,0
445,male,0
446,male,0
447,female,0
448,male,0
449,female,2
450,male,0
451,male,1
452,male,1
453,male,0
454,male,1
455,male,0
456,male,0
457,male,0
458,female,1
459,female,0
460,male,0
461,male,0
462,male,0
463,male,0
464,male,0
465,male,0
466,male,0
467,male,0
468,male,0
469,male,0
470,female,2
471,male,0
472,male,0
473,female,1
474,female,0
475,female,0
476,male,0
477,male,1
478,male,1
479,male,0
480,female,0
481,male,5
482,male,0
483,male,0
484,female,0
485,male,1
486,female,3
487,female,1
488,male,0
489,male,0
490,male,1
491,male,1
492,male,0
493,male,0
494,male,0
495,male,0
496,male,0
497,female,1
498,male,0
499,female,1
500,male,0
501,male,0
502,female,0
503,female,0
504,female,0
505,female,0
506,male,1
507,female,0
508,male,0
509,male,0
510,male,0
511,male,0
512,male,0
513,male,0
514,female,1
515,male,0
516,male,0
517,female,0
518,male,0
519,female,1
520,male,0
521,female,0
522,male,0
523,male,0
524,female,0
525,male,0
526,male,0
527,female,0
528,male,0
529,male,0
530,male,2
531,female,1
532,male,0
533,male,1
534,female,0
535,female,0
536,female,0
537,male,0
538,female,0
539,male,0
540,female,0
541,female,0
542,female,4
543,female,4
544,male,1
545,male,1
546,male,0
547,female,1
548,male,0
549,male,1
550,male,1
551,male,0
552,male,0
553,male,0
554,male,0
555,female,0
556,male,0
557,female,1
558,male,0
559,female,1
560,female,1
561,male,0
562,male,0
563,male,0
564,male,0
565,female,0
566,male,2
567,male,0
568,female,0
569,male,0
570,male,0
571,male,0
572,female,2
573,male,0
574,female,0
575,male,0
576,male,0
577,female,0
578,female,1
579,female,1
580,male,0
581,female,1
582,female,1
583,male,0
584,male,0
585,male,0
586,female,0
587,male,0
588,male,1
589,male,0
590,male,0
591,male,0
592,female,1
593,male,0
594,female,0
595,male,1
596,male,1
597,female,0
598,male,0
599,male,0
600,male,1
601,female,2
602,male,0
603,male,0
604,male,0
605,male,0
606,male,1
607,male,0
608,male,0
609,female,1
610,female,0
611,female,1
612,male,0
613,female,1
614,male,0
615,male,0
616,female,1
617,male,1
618,female,1
619,female,2
620,male,0
621,male,1
622,male,1
623,male,1
624,male,0
625,male,0
626,male,0
627,male,0
628,female,0
629,male,0
630,male,0
631,male,0
632,male,0
633,male,0
634,male,0
635,female,3
636,female,0
637,male,0
638,male,1
639,female,0
640,male,1
641,male,0
642,female,0
643,female,3
644,male,0
645,female,2
646,male,1
647,male,0
648,male,0
649,male,0
650,female,0
651,male,0
652,female,0
653,male,0
654,female,0
655,female,0
656,male,2
657,male,0
658,female,1
659,male,0
660,male,0
661,male,2
662,male,0
663,male,0
664,male,0
665,male,1
666,male,2
667,male,0
668,male,0
669,male,0
670,female,1
671,female,1
672,male,1
673,male,0
674,male,0
675,male,0
676,male,0
677,male,0
678,female,0
679,female,1
680,male,0
681,female,0
682,male,0
683,male,0
684,male,5
685,male,1
686,male,1
687,male,4
688,male,0
689,male,0
690,female,0
691,male,1
692,female,0
693,male,0
694,male,0
695,male,0
696,male,0
697,male,0
698,female,0
699,male,1
700,male,0
701,female,1
702,male,0
703,female,0
704,male,0
705,male,1
706,male,0
707,female,0
708,male,0
709,female,0
710,male,1
711,female,0
712,male,0
713,male,1
714,male,0
715,male,0
716,male,0
717,female,0
718,female,0
719,male,0
720,male,0
721,female,0
722,male,1
723,male,0
724,male,0
725,male,1
726,male,0
727,female,3
728,female,0
729,male,1
730,female,1
731,female,0
732,male,0
733,male,0
734,male,0
735,male,0
736,male,0
737,female,1
738,male,0
739,male,0
740,male,0
741,male,0
742,male,1
743,female,2
744,male,1
745,male,0
746,male,1
747,male,1
748,female,0
749,male,1
750,male,0
751,female,1
752,male,0
753,male,0
754,male,0
755,female,1
756,male,1
757,male,0
758,male,0
759,male,0
760,female,0
761,male,0
762,male,0
763,male,0
764,female,1
765,male,0
766,female,1
767,male,0
768,female,0
769,male,1
770,male,0
771,male,0
772,male,0
773,female,0
774,male,0
775,female,1
776,male,0
777,male,0
778,female,0
779,male,0
780,female,0
781,female,0
782,female,1
783,male,0
784,male,1
785,male,0
786,male,0
787,female,0
788,male,4
789,male,1
790,male,0
791,male,0
792,male,0
793,female,8
794,male,0
795,male,0
796,male,0
797,female,0
798,female,0
799,male,0
800,female,1
801,male,0
802,female,1
803,male,1
804,male,0
805,male,0
806,male,0
807,male,0
808,female,0
809,male,0
810,female,1
811,male,0
812,male,0
813,male,0
814,female,4
815,male,0
816,male,0
817,female,0
818,male,1
819,male,0
820,male,3
821,female,1
822,male,0
823,male,0
824,female,0
825,male,4
826,male,0
827,male,0
828,male,0
829,male,0
830,female,0
831,female,1
832,male,1
833,male,0
834,male,0
835,male,0
836,female,1
837,male,0
838,male,0
839,male,0
840,male,0
841,male,0
842,male,0
843,female,0
844,male,0
845,male,0
846,male,0
847,male,8
848,male,0
849,male,0
850,female,1
851,male,4
852,male,0
853,female,1
854,female,0
855,female,1
856,female,0
857,female,1
858,male,0
859,female,0
860,male,0
861,male,2
862,male,1
863,female,0
864,female,8
865,male,0
866,female,0
867,female,1
868,male,0
869,male,0
870,male,1
871,male,0
872,female,1
873,male,0
874,male,0
875,female,1
876,female,0
877,male,0
878,male,0
879,male,0
880,female,0
881,female,0
882,male,0
883,female,0
884,male,0
885,male,0
886,female,0
887,male,0
888,female,0
889,female,1
890,male,0
891,male,0